market,calendar_date,is_business_day,holiday_name
US,2026-01-01,False,Holiday
US,2026-01-02,True,
US,2026-01-03,False,
US,2026-01-04,False,
US,2026-01-05,True,
US,2026-01-06,True,
US,2026-01-07,True,
US,2026-01-08,True,
US,2026-01-09,True,
US,2026-01-10,False,
US,2026-01-11,False,
US,2026-01-12,True,
US,2026-01-13,True,
US,2026-01-14,True,
US,2026-01-15,True,
US,2026-01-16,True,
US,2026-01-17,False,
US,2026-01-18,False,
US,2026-01-19,False,Holiday
US,2026-01-20,True,
US,2026-01-21,True,
US,2026-01-22,True,
US,2026-01-23,True,
US,2026-01-24,False,
US,2026-01-25,False,
US,2026-01-26,True,
US,2026-01-27,True,
US,2026-01-28,True,
US,2026-01-29,True,
US,2026-01-30,True,
US,2026-01-31,False,
US,2026-02-01,False,
US,2026-02-02,True,
US,2026-02-03,True,
US,2026-02-04,True,
US,2026-02-05,True,
US,2026-02-06,True,
US,2026-02-07,False,
US,2026-02-08,False,
US,2026-02-09,True,
US,2026-02-10,True,
US,2026-02-11,True,
US,2026-02-12,True,
US,2026-02-13,True,
US,2026-02-14,False,
US,2026-02-15,False,
US,2026-02-16,False,Holiday
US,2026-02-17,True,
US,2026-02-18,True,
US,2026-02-19,True,
US,2026-02-20,True,
US,2026-02-21,False,
US,2026-02-22,False,
US,2026-02-23,True,
US,2026-02-24,True,
US,2026-02-25,True,
US,2026-02-26,True,
US,2026-02-27,True,
US,2026-02-28,False,
US,2026-03-01,False,
US,2026-03-02,True,
US,2026-03-03,True,
US,2026-03-04,True,
US,2026-03-05,True,
US,2026-03-06,True,
US,2026-03-07,False,
US,2026-03-08,False,
US,2026-03-09,True,
US,2026-03-10,True,
US,2026-03-11,True,
US,2026-03-12,True,
US,2026-03-13,True,
US,2026-03-14,False,
US,2026-03-15,False,
US,2026-03-16,True,
US,2026-03-17,True,
US,2026-03-18,True,
US,2026-03-19,True,
US,2026-03-20,True,
US,2026-03-21,False,
US,2026-03-22,False,
US,2026-03-23,True,
US,2026-03-24,True,
US,2026-03-25,True,
US,2026-03-26,True,
US,2026-03-27,True,
US,2026-03-28,False,
US,2026-03-29,False,
US,2026-03-30,True,
US,2026-03-31,True,
US,2026-04-01,True,
US,2026-04-02,True,
US,2026-04-03,True,
US,2026-04-04,False,
US,2026-04-05,False,
US,2026-04-06,True,
US,2026-04-07,True,
US,2026-04-08,True,
US,2026-04-09,True,
US,2026-04-10,True,
US,2026-04-11,False,
US,2026-04-12,False,
US,2026-04-13,True,
US,2026-04-14,True,
US,2026-04-15,True,
US,2026-04-16,True,
US,2026-04-17,True,
US,2026-04-18,False,
US,2026-04-19,False,
US,2026-04-20,True,
US,2026-04-21,True,
US,2026-04-22,True,
US,2026-04-23,True,
US,2026-04-24,True,
US,2026-04-25,False,
US,2026-04-26,False,
US,2026-04-27,True,
US,2026-04-28,True,
US,2026-04-29,True,
US,2026-04-30,True,
US,2026-05-01,True,
US,2026-05-02,False,
US,2026-05-03,False,
US,2026-05-04,True,
US,2026-05-05,True,
US,2026-05-06,True,
US,2026-05-07,True,
US,2026-05-08,True,
US,2026-05-09,False,
US,2026-05-10,False,
US,2026-05-11,True,
US,2026-05-12,True,
US,2026-05-13,True,
US,2026-05-14,True,
US,2026-05-15,True,
US,2026-05-16,False,
US,2026-05-17,False,
US,2026-05-18,True,
US,2026-05-19,True,
